marker_00,marker_01,marker_02,marker_03,marker_04,marker_05,marker_06,marker_07,marker_08,marker_09,marker_10,marker_11,marker_12,marker_13,marker_14,marker_15,marker_16,marker_17,marker_18,marker_19,marker_20,marker_21,marker_22,marker_23,outcome
0.844,-0.453,0.584,0.281,-0.999,-1.266,-0.341,0.488,-1.793,-1.284,-0.06,-0.876,-0.947,0.326,-0.284,-1.604,-0.654,-2.197,0.097,-0.604,-0.502,0.186,1.325,1.601,0.511
0.076,-1.066,-1.439,1.282,1.305,-0.494,0.76,0.937,-1.015,0.082,-0.402,-0.528,1.55,-1.113,-0.674,0.617,-1.463,-0.893,0.006,-1.061,0.467,0.135,0.162,0.752,0.308
-1.427,-0.346,2.119,0.282,0.151,-0.893,-0.362,0.219,1.119,1.503,-1.391,-0.728,-1.213,-1.401,0.658,-0.153,1.594,-0.511,-1.307,-0.228,0.494,-1.636,-0.635,-1.035,0.575
-0.135,-0.006,-1.342,0.806,0.85,-0.532,-1.527,0.34,-0.021,-0.177,-1.707,-1.895,-0.514,-0.38,0.692,-1.835,0.292,1.479,-0.138,1.186,-0.532,0.491,1.111,-1.49,0.264
-0.77,0.768,0.92,-1.226,-0.606,-0.693,0.327,1.392,-0.363,-0.522,0.128,0.199,1.423,0.405,0.913,-0.551,-0.651,0.57,-0.242,1.199,-0.424,-1.003,-0.983,0.159,-1.96
-1.423,-0.61,-1.121,-0.023,1.377,-0.121,0.337,0.318,-0.106,-0.608,0.178,0.846,2.49,-0.696,2.049,-1.937,-0.25,0.316,-0.669,-1.458,0.804,-0.215,-0.282,1.204,-1.37
0.258,-0.186,1.151,0.124,0.345,-0.017,-0.27,0.545,2.742,2.017,2.183,-0.223,-0.092,-1.306,0.707,-0.263,-0.914,-0.582,-0.834,-1.774,0.306,0.851,0.614,-1.045,-0.963
-0.569,-1.416,-0.385,0.862,0.481,-0.041,-1.16,0.99,1.035,-1.355,-0.179,-1.422,-0.414,-2.173,0.635,-0.865,0.938,-0.729,-1.002,1.675,0.6,-0.706,-0.908,-0.929,0.127
-1.03,-0.827,0.158,0.116,0.549,-0.556,-0.741,1.633,-0.776,0.845,1.021,-0.198,-2.507,-0.776,1.004,-0.558,0.713,0.641,-0.809,1.425,0.411,-0.125,2.651,2.403,-0.681
-1.043,2.756,0.053,0.804,-0.797,0.187,-0.314,1.227,1.667,0.111,1.195,1.364,1.71,0.844,-1.542,-0.084,0.629,-0.372,0.409,-0.627,-0.569,-0.44,-0.19,0.03,-0.065
0.268,1.041,1.101,-0.504,-1.866,0.876,-0.876,0.377,-0.089,1.921,-0.061,2.13,0.308,1.002,0.005,0.183,0.22,-0.337,0.036,-0.077,-1.057,0.54,-2.012,-0.331,-0.387
0.359,-0.781,-0.322,0.358,-1.075,-0.902,-1.92,0.208,0.74,1.311,0.077,0.269,-1.884,0.79,-1.513,0.06,-2.05,1.918,1.655,0.05,-1.021,-1.152,1.104,2.488,-0.585
1.322,-1.337,-2.967,0.415,1.631,0.001,-0.769,-1.224,-0.587,-0.088,-0.43,-0.789,0.871,-0.175,1.577,1.292,-1.187,-0.982,0.603,1.103,-1.336,-1.551,0.362,-0.294,1.546
-0.014,-0.976,-0.76,-1.25,1.301,-0.074,-0.062,0.292,-0.938,-1.541,1.775,-1.986,0.614,0.129,-0.493,2.401,0.284,-0.282,-0.595,-0.488,-2.009,-2.074,-0.037,-1.129,0.397
1.042,-0.022,0.184,0.176,-0.347,0.468,-0.507,-1.037,0.802,1.43,-1.508,-1.546,-0.354,1.268,1.773,0.852,-2.655,-0.25,-0.539,0.592,-0.59,2.176,0.493,0.084,0.177
1.402,0.035,-0.44,-0.32,-0.302,-0.064,-0.076,-1.024,-0.769,1.458,-0.04,-0.089,-0.558,-0.869,1.062,-0.19,-0.079,-0.651,-0.173,0.274,-0.901,0.678,0.643,-1.249,-1.102
1.15,-0.744,0.77,-1.904,1.037,-0.016,0.084,0.651,-0.781,-1.105,1.384,0.226,0.73,0.364,-0.552,0.752,-1.025,-1.412,-0.35,0.301,0.064,1.618,-0.101,-1.585,-0.827
-2.365,-1.287,1.015,0.958,-0.168,-0.991,0.897,-0.101,0.898,0.745,-0.108,0.257,0.234,-1.871,-1.66,-0.727,0.633,1.272,0.004,1.054,-0.228,-0.374,0.695,0.965,-2.13
1.229,1.422,-0.148,-0.362,-1.299,0.022,2.204,0.472,-1.162,-0.801,-0.571,-0.263,0.487,0.682,-1.124,-0.826,-0.197,-1.412,1.941,0.147,0.373,1.123,0.398,-0.557,0.43
